0.000000000000000000e+00 -2.462142417486729407e-06 -1.090475332535905109e-06 -3.552617750022634304e-06
1.000500250125062459e-03 -1.972912241656821308e+01 -8.737967866948045170e+00 -2.846709028351626003e+01
2.001000500250124919e-03 -3.717056527807962851e+01 -1.646272946856451469e+01 -5.363329474664416097e+01
3.001500750375187161e-03 -5.103210985484452067e+01 -2.260196508891442235e+01 -7.363407494375893236e+01
4.002001000500249837e-03 -6.117788744606252038e+01 -2.709549889672406309e+01 -8.827338634278660834e+01
5.002501250625312514e-03 -6.815966985221174923e+01 -3.018770893175953418e+01 -9.834737878397133670e+01
6.003001500750374322e-03 -7.272296381795253239e+01 -3.220877784694833679e+01 -1.049317416649008550e+02
7.003501750875436999e-03 -7.554236952353006984e+01 -3.345748399510105742e+01 -1.089998535186311273e+02
8.004002001000499675e-03 -7.714165266067165305e+01 -3.416580159623061519e+01 -1.113074542569022753e+02
9.004502251125562351e-03 -7.789978076063903245e+01 -3.450157420875099490e+01 -1.124013549693900131e+02
1.000500250125062503e-02 -7.808220489421562149e+01 -3.458236929855232944e+01 -1.126645741927679580e+02
1.100550275137568770e-02 -7.787246494896848503e+01 -3.448947611945956737e+01 -1.123619410684280524e+02
1.200600300150074864e-02 -7.739710786657101949e+01 -3.427894192419160646e+01 -1.116760497907626188e+02
1.300650325162581132e-02 -7.674358696725816742e+01 -3.398949952031767907e+01 -1.107330864875758465e+02
1.400700350175087400e-02 -7.597261613519013679e+01 -3.364803890110091800e+01 -1.096206550362910690e+02
1.500750375187593667e-02 -7.512656214441882696e+01 -3.327332418095430455e+01 -1.083998863253731315e+02
1.600800400200099935e-02 -7.423512449739864394e+01 -3.287850917851361743e+01 -1.071136336759122685e+02
1.700850425212606029e-02 -7.331919017174075748e+01 -3.247284467216373116e+01 -1.057920348439044886e+02
1.800900450225112470e-02 -7.239346612734678388e+01 -3.206284432938200268e+01 -1.044563104567287866e+02
1.900950475237618564e-02 -7.146829157938353205e+01 -3.165308735688574160e+01 -1.031213789362692665e+02
2.001000500250125005e-02 -7.055089662992369881e+01 -3.124677594472942843e+01 -1.017976725746531201e+02
2.101050525262631100e-02 -6.964628419927552727e+01 -3.084612587098832748e+01 -1.004924100702638583e+02
2.201100550275137541e-02 -6.875785350119751627e+01 -3.045264263702062735e+01 -9.921049613821813296e+01
2.301150575287643635e-02 -6.788784442161961863e+01 -3.006731828144155827e+01 -9.795516270306119111e+01
2.401200600300149729e-02 -6.703765673232398115e+01 -2.969077275888443879e+01 -9.672842949120844480e+01
2.501250625312656170e-02 -6.620808100893620463e+01 -2.932335621287145955e+01 -9.553143722180764996e+01
2.601300650325162264e-02 -6.539946673226789642e+01 -2.896522342738327183e+01 -9.436469015965117535e+01
2.701350675337668705e-02 -6.461184532741187070e+01 -2.861638832049717962e+01 -9.322823364790906453e+01
2.801400700350174799e-02 -6.384502064341005223e+01 -2.827676401755486069e+01 -9.212178466096492002e+01
2.901450725362681241e-02 -6.309863572583454783e+01 -2.794619242453395458e+01 -9.104482815036848820e+01
3.001500750375187335e-02 -6.237222222380620451e+01 -2.762446611026512500e+01 -8.999668833407129398e+01
3.101550775387693776e-02 -6.166523700300085409e+01 -2.731134452222044118e+01 -8.897658152522127750e+01
3.201600800400199870e-02 -6.097708927635307674e+01 -2.700656600261876861e+01 -8.798365527897185245e+01
3.301650825412705964e-02 -6.030716067742442732e+01 -2.670985667885927839e+01 -8.701701735628370216e+01
3.401700850425212058e-02 -5.965482007802940956e+01 -2.642093702620243789e+01 -8.607575710423184034e+01
3.501750875437718846e-02 -5.901943441256345579e+01 -2.613952666183172369e+01 -8.515896107439517948e+01
3.601800900450224940e-02 -5.840037658639364082e+01 -2.586534784745566640e+01 -8.426572443384930011e+01
3.701850925462731035e-02 -5.779703110744176087e+01 -2.559812798351877206e+01 -8.339515909096053292e+01
3.801900950475237129e-02 -5.720879804857133166e+01 -2.533760136413047448e+01 -8.254639941270180259e+01
3.901950975487743917e-02 -5.663509573849300693e+01 -2.508351036885901664e+01 -8.171860610735201647e+01
4.002001000500250011e-02 -5.607536249687970553e+01 -2.483560623120855482e+01 -8.091096872808824969e+01
4.102051025512756105e-02 -5.552905765445399311e+01 -2.459364949041276205e+01 -8.012270714486676582e+01
4.202101050525262199e-02 -5.499566203752446114e+01 -2.435741020603450480e+01 -7.935307224355895528e+01
4.302151075537768293e-02 -5.447467805663102070e+01 -2.412666799722654432e+01 -7.860134605385755435e+01
4.402201100550275081e-02 -5.396562950411600212e+01 -2.390121195307644442e+01 -7.786684145719245009e+01
4.502251125562781175e-02 -5.346806114141747202e+01 -2.368084044981998559e+01 -7.714890159123744695e+01
4.602301150575287270e-02 -5.298153813966029446e+01 -2.346536090308074307e+01 -7.644689904274103753e+01
4.702351175587793364e-02 -5.250564541159017296e+01 -2.325458947198560367e+01 -7.576023488357577662e+01
4.802401200600299458e-02 -5.203998688920124494e+01 -2.304835073922839328e+01 -7.508833762842964177e+01
4.902451225612806246e-02 -5.158418475353067834e+01 -2.284647736994812561e+01 -7.443066212347879684e+01
5.002501250625312340e-02 -5.113787863644400744e+01 -2.264880975820220854e+01 -7.378668839464619111e+01
5.102551275637818434e-02 -5.070072484308776239e+01 -2.245519568259318532e+01 -7.315592052568094061e+01
5.202601300650324528e-02 -5.027239556142372123e+01 -2.226548995617373805e+01 -7.253788551759747349e+01
5.302651325662831316e-02 -4.985257809351363534e+01 -2.207955408598514424e+01 -7.193213217949876537e+01
